Instrument,Action,Type,Quantity,Limit,Stop,State,Filled,Avg. price,Remaining,Name,Strategy,OCO,Time,Cancel,
MNQ MAR24,Buy to cover,Limit,1,16989.25,16989.25,Cancelled,0,0,1,K.Chan Offset 2 B,BlackBird,067ef4db-e395-478e-a0eb-7e25e90f8f77780283561,12/22/2023 11:47:08 AM,,
MNQ MAR24,Buy to cover,Stop Market,1,16990.50,16992.50,Filled,1,16992.75,0,Stop Loss Keltner channel C,BlackBird,1ce997f1-44d7-4973-b516-4dadba7d27051846765044,12/22/2023 11:47:08 AM,,
MNQ MAR24,Buy to cover,Stop Market,1,16990.50,16992.50,Submitted,1,0,0,Stop Loss Keltner channel B,BlackBird,067ef4db-e395-478e-a0eb-7e25e90f8f77780283561,12/22/2023 11:47:04 AM,,
MNQ MAR24,Buy to cover,Limit,1,16988.50,16988.50,Submitted,0,0,1,K.Chan Offset 1 A,BlackBird,65296200-bb5b-466d-8dc8-2e271add367c110085909,12/22/2023 11:47:04 AM,,
MNQ MAR24,Buy to cover,Stop Market,1,16990.50,16992.50,Submitted,1,0,0,Stop Loss Keltner channel A,BlackBird,65296200-bb5b-466d-8dc8-2e271add367c110085909,12/22/2023 11:47:04 AM,,
MNQ MAR24,Sell short,Market,1,16990.00,16990.00,Initialized,1,0,0,Sell Market Entry C,BlackBird,,12/22/2023 11:47:04 AM,,
MNQ MAR24,Sell short,Market,1,16990.00,16990.00,Initialized,1,0,0,Sell Market Entry B,BlackBird,,12/22/2023 11:47:04 AM,,
MNQ MAR24,Sell short,Market,1,16990.00,16990.00,Initialized,1,0,0,Sell Market Entry A,BlackBird,,12/22/2023 11:47:04 AM,,
MNQ MAR24,Sell,Limit,1,16995.75,16995.75,Initialized,0,0,1,K.Chan Offset 3 C,BlackBird,54ae8ede-bbf1-467a-a67b-accd716921ed236464132,12/22/2023 11:15:53 AM,,
MNQ MAR24,Sell,Limit,1,16995.25,16995.25,Initialized,1,0,0,K.Chan Offset 2 B,BlackBird,b0401251-ab8b-4b78-9a24-3bd46c2e3e90335071287,12/22/2023 11:15:52 AM,,
MNQ MAR24,Sell,Stop Market,1,16992.75,16991.00,Submitted,1,0,0,Stop Loss Keltner channel C,BlackBird,54ae8ede-bbf1-467a-a67b-accd716921ed236464132,12/22/2023 11:15:52 AM,,
MNQ MAR24,Sell,Stop Market,1,16992.75,16991.00,Initialized,0,0,1,Stop Loss Keltner channel B,BlackBird,b0401251-ab8b-4b78-9a24-3bd46c2e3e90335071287,12/22/2023 11:15:52 AM,,
MNQ MAR24,Sell,Limit,1,16994.75,16994.75,Initialized,1,0,0,K.Chan Offset 1 A,BlackBird,740d40f8-bb09-4423-aa96-0c29beea4caf1363235627,12/22/2023 11:15:52 AM,,
MNQ MAR24,Sell,Stop Market,1,16992.75,16991.00,Submitted,0,0,1,Stop Loss Keltner channel A,BlackBird,740d40f8-bb09-4423-aa96-0c29beea4caf1363235627,12/22/2023 11:15:52 AM,,
MNQ MAR24,Buy,Market,1,16993.50,16993.50,Initialized,1,0,0,Buy Market Entry C,BlackBird,,12/22/2023 11:15:52 AM,,
MNQ MAR24,Buy,Market,1,16993.50,16993.50,Initialized,1,0,0,Buy Market Entry B,BlackBird,,12/22/2023 11:15:52 AM,,
MNQ MAR24,Buy,Market,1,16993.50,16993.50,Initialized,1,0,0,Buy Market Entry A,BlackBird,,12/22/2023 11:15:52 AM,,
MNQ MAR24,Buy to cover,Limit,1,16998.25,16998.25,Initialized,0,0,1,K.Chan Offset 3 C,BlackBird,15f29b1d-a1bf-4b31-8681-ee928a3377a744025931,12/22/2023 11:12:49 AM,,
MNQ MAR24,Buy to cover,Limit,1,16998.75,16998.75,Submitted,0,0,1,K.Chan Offset 2 B,BlackBird,5cb1377d-1f77-4c07-ad08-35223d2d66f1430616610,12/22/2023 11:12:49 AM,,
MNQ MAR24,Buy to cover,Stop Market,1,17001.25,17003.25,Initialized,1,0,0,Stop Loss Keltner channel C,BlackBird,15f29b1d-a1bf-4b31-8681-ee928a3377a744025931,12/22/2023 11:12:49 AM,,
MNQ MAR24,Buy to cover,Stop Market,1,17001.25,17002.75,Initialized,1,0,0,Stop Loss Keltner channel B,BlackBird,5cb1377d-1f77-4c07-ad08-35223d2d66f1430616610,12/22/2023 11:12:49 AM,,
MNQ MAR24,Buy to cover,Limit,1,16999.25,16999.25,Submitted,0,0,1,K.Chan Offset 1 A,BlackBird,6797d6dc-94b4-449d-b045-7ac84ba1bd2820859783,12/22/2023 11:12:49 AM,,
MNQ MAR24,Buy to cover,Stop Market,1,17001.25,17002.75,Submitted,1,0,0,Stop Loss Keltner channel A,BlackBird,6797d6dc-94b4-449d-b045-7ac84ba1bd2820859783,12/22/2023 11:12:49 AM,,
MNQ MAR24,Sell short,Market,1,17000.50,17000.50,Initialized,1,0,0,Sell Market Entry C,BlackBird,,12/22/2023 11:12:49 AM,,
MNQ MAR24,Sell short,Market,1,17000.50,17000.50,Submitted,1,0,0,Sell Market Entry B,BlackBird,,12/22/2023 11:12:49 AM,,
MNQ MAR24,Sell short,Market,1,17000.50,17000.50,Initialized,1,0,0,Sell Market Entry A,BlackBird,,12/22/2023 11:12:49 AM,,
MNQ MAR24,Buy to cover,Limit,1,16979.50,16979.50,Initialized,0,0,1,K.Chan Offset 3 C,BlackBird,be96b6b5-2482-47ea-99fb-9f80b54a80491827817295,12/22/2023 11:07:56 AM,,
MNQ MAR24,Buy to cover,Limit,1,16980.00,16980.00,Submitted,1,0,0,K.Chan Offset 2 B,BlackBird,b1702a41-0cff-4955-be72-614d87f667241003550301,12/22/2023 11:07:56 AM,,
MNQ MAR24,Buy to cover,Stop Market,1,16982.50,16984.00,Initialized,1,0,0,Stop Loss Keltner channel C,BlackBird,be96b6b5-2482-47ea-99fb-9f80b54a80491827817295,12/22/2023 11:07:56 AM,,
MNQ MAR24,Buy to cover,Stop Market,1,16982.50,16984.00,Initialized,0,0,1,Stop Loss Keltner channel B,BlackBird,b1702a41-0cff-4955-be72-614d87f667241003550301,12/22/2023 11:07:56 AM,,
MNQ MAR24,Buy to cover,Limit,1,16980.50,16980.50,Submitted,0,0,1,K.Chan Offset 1 A,BlackBird,0406b97b-6768-46fe-826f-d5048cb5ee57338618351,12/22/2023 11:07:56 AM,,
MNQ MAR24,Buy to cover,Stop Market,1,16982.50,16983.75,Submitted,1,0,0,Stop Loss Keltner channel A,BlackBird,0406b97b-6768-46fe-826f-d5048cb5ee57338618351,12/22/2023 11:07:56 AM,,
MNQ MAR24,Sell short,Market,1,16981.50,16981.50,Submitted,1,0,0,Sell Market Entry C,BlackBird,,12/22/2023 11:07:56 AM,,
MNQ MAR24,Sell short,Market,1,16981.50,16981.50,Initialized,1,0,0,Sell Market Entry B,BlackBird,,12/22/2023 11:07:56 AM,,
MNQ MAR24,Sell short,Market,1,16981.50,16981.50,Initialized,1,0,0,Sell Market Entry A,BlackBird,,12/22/2023 11:07:56 AM,,
MNQ MAR24,Buy to cover,Limit,1,16987.25,16987.25,Submitted,0,0,1,K.Chan Offset 3 C,BlackBird,6f48d436-bb06-4769-8e06-a015fed8a5be2068526045,12/22/2023 11:01:22 AM,,
MNQ MAR24,Buy to cover,Limit,1,16987.75,16987.75,Submitted,0,0,1,K.Chan Offset 2 B,BlackBird,aba5da7a-fb40-4cf4-941a-b9c41a7330501886884237,12/22/2023 11:01:22 AM,,
MNQ MAR24,Buy to cover,Stop Market,1,16990.25,16991.50,Submitted,1,0,0,Stop Loss Keltner channel C,BlackBird,6f48d436-bb06-4769-8e06-a015fed8a5be2068526045,12/22/2023 11:01:22 AM,,
MNQ MAR24,Buy to cover,Stop Market,1,16990.25,16991.50,Initialized,1,0,0,Stop Loss Keltner channel B,BlackBird,aba5da7a-fb40-4cf4-941a-b9c41a7330501886884237,12/22/2023 11:01:22 AM,,
MNQ MAR24,Buy to cover,Limit,1,16988.25,16988.25,Submitted,0,0,1,K.Chan Offset 1 A,BlackBird,65336fff-bac5-4fcc-bc15-4aa738431e2f289311278,12/22/2023 11:01:22 AM,,
MNQ MAR24,Buy to cover,Stop Market,1,16990.25,16991.50,Submitted,1,0,0,Stop Loss Keltner channel A,BlackBird,65336fff-bac5-4fcc-bc15-4aa738431e2f289311278,12/22/2023 11:01:22 AM,,
MNQ MAR24,Sell short,Market,1,16989.50,16989.50,Submitted,1,0,0,Sell Market Entry C,BlackBird,,12/22/2023 11:01:22 AM,,
MNQ MAR24,Sell short,Market,1,16989.50,16989.50,Initialized,1,0,0,Sell Market Entry B,BlackBird,,12/22/2023 11:01:22 AM,,
MNQ MAR24,Sell short,Market,1,16989.50,16989.50,Initialized,1,0,0,Sell Market Entry A,BlackBird,,12/22/2023 11:01:22 AM,,
MNQ MAR24,Sell,Limit,1,16989.50,16989.50,Rejected,0,0,1,K.Chan Offset 3 C,BlackBird,294e4cf5-3fbd-4f7e-986d-f3b98821dc971837624296,12/22/2023 11:00:03 AM,,
MNQ MAR24,Sell,Limit,1,16989.50,16989.00,Submitted,0,0,1,K.Chan Offset 2 B,BlackBird,0438385c-a1d1-4501-a6e5-58f8cb1827131323327997,12/22/2023 11:00:02 AM,,
MNQ MAR24,Sell,Stop Market,1,16986.50,16986.50,Submitted,1,0,0,Stop Loss Keltner channel C,BlackBird,294e4cf5-3fbd-4f7e-986d-f3b98821dc971837624296,12/22/2023 11:00:02 AM,,
MNQ MAR24,Sell,Stop Market,1,16986.50,16986.50,Submitted,1,0,0,Stop Loss Keltner channel B,BlackBird,0438385c-a1d1-4501-a6e5-58f8cb1827131323327997,12/22/2023 11:00:02 AM,,
MNQ MAR24,Sell,Limit,1,16989.50,16988.50,Submitted,0,0,1,K.Chan Offset 1 A,BlackBird,65e46040-532f-4830-b523-d615b2845461623221822,12/22/2023 11:00:02 AM,,
MNQ MAR24,Sell,Stop Market,1,16986.50,16986.50,Submitted,1,0,0,Stop Loss Keltner channel A,BlackBird,65e46040-532f-4830-b523-d615b2845461623221822,12/22/2023 11:00:02 AM,,
MNQ MAR24,Buy,Market,1,16987.50,16987.50,Initialized,1,0,0,Buy Market Entry C,BlackBird,,12/22/2023 11:00:02 AM,,
MNQ MAR24,Buy,Market,1,16987.50,16987.50,Initialized,1,0,0,Buy Market Entry B,BlackBird,,12/22/2023 11:00:02 AM,,
MNQ MAR24,Buy,Market,1,16987.50,16987.50,Initialized,1,0,0,Buy Market Entry A,BlackBird,,12/22/2023 11:00:02 AM,,
MNQ MAR24,Buy to cover,Limit,1,17005.75,17005.75,Submitted,0,0,1,K.Chan Offset 3 C,BlackBird,ffa5ad37-dc13-4f84-b22c-73093d21df4d1469134506,12/22/2023 10:57:58 AM,,
MNQ MAR24,Buy to cover,Limit,1,17006.25,17006.25,Initialized,1,0,0,K.Chan Offset 2 B,BlackBird,f1fbd43b-6d63-4e4b-b5de-88fab83ba7c81872517029,12/22/2023 10:57:58 AM,,
MNQ MAR24,Buy to cover,Stop Market,1,17008.75,17010.25,Initialized,1,0,0,Stop Loss Keltner channel C,BlackBird,ffa5ad37-dc13-4f84-b22c-73093d21df4d1469134506,12/22/2023 10:57:58 AM,,
MNQ MAR24,Buy to cover,Stop Market,1,17008.75,17010.25,Submitted,0,0,1,Stop Loss Keltner channel B,BlackBird,f1fbd43b-6d63-4e4b-b5de-88fab83ba7c81872517029,12/22/2023 10:57:58 AM,,
MNQ MAR24,Buy to cover,Limit,1,17006.75,17006.75,Initialized,1,0,0,K.Chan Offset 1 A,BlackBird,36e2cd8b-4050-49b8-84c8-88d7c4e0822a116932064,12/22/2023 10:57:58 AM,,
MNQ MAR24,Buy to cover,Stop Market,1,17008.75,17010.25,Submitted,0,0,1,Stop Loss Keltner channel A,BlackBird,36e2cd8b-4050-49b8-84c8-88d7c4e0822a116932064,12/22/2023 10:57:58 AM,,
MNQ MAR24,Sell short,Market,1,17008.00,17008.00,Submitted,1,0,0,Sell Market Entry C,BlackBird,,12/22/2023 10:57:57 AM,,
MNQ MAR24,Sell short,Market,1,17008.00,17008.00,Initialized,1,0,0,Sell Market Entry B,BlackBird,,12/22/2023 10:57:57 AM,,
MNQ MAR24,Sell short,Market,1,17008.00,17008.00,Initialized,1,0,0,Sell Market Entry A,BlackBird,,12/22/2023 10:57:57 AM,,
MNQ MAR24,Sell,Limit,1,16999.00,16999.00,Submitted,0,0,1,K.Chan Offset 3 C,BlackBird,a9d03498-4463-416e-b0ef-bc9317a534a0400424656,12/22/2023 10:57:07 AM,,
MNQ MAR24,Sell,Limit,1,16998.50,16998.50,Submitted,1,0,0,K.Chan Offset 2 B,BlackBird,02b4cfac-2bc7-4d87-a7c3-6e61c9f08afe250044596,12/22/2023 10:57:07 AM,,
MNQ MAR24,Sell,Stop Market,1,16996.00,16994.75,Submitted,1,0,0,Stop Loss Keltner channel C,BlackBird,a9d03498-4463-416e-b0ef-bc9317a534a0400424656,12/22/2023 10:57:07 AM,,
MNQ MAR24,Sell,Stop Market,1,16996.00,16994.75,Submitted,0,0,1,Stop Loss Keltner channel B,BlackBird,02b4cfac-2bc7-4d87-a7c3-6e61c9f08afe250044596,12/22/2023 10:57:07 AM,,
MNQ MAR24,Sell,Limit,1,16998.00,16998.00,Submitted,1,0,0,K.Chan Offset 1 A,BlackBird,da803685-ebef-4e3a-882a-3aec60b3935f425198085,12/22/2023 10:57:06 AM,,
MNQ MAR24,Sell,Stop Market,1,16996.00,16994.50,Submitted,0,0,1,Stop Loss Keltner channel A,BlackBird,da803685-ebef-4e3a-882a-3aec60b3935f425198085,12/22/2023 10:57:06 AM,,
MNQ MAR24,Buy,Market,1,16997.00,16997.00,Submitted,1,0,0,Buy Market Entry C,BlackBird,,12/22/2023 10:57:06 AM,,
MNQ MAR24,Buy,Market,1,16997.00,16997.00,Initialized,1,0,0,Buy Market Entry B,BlackBird,,12/22/2023 10:57:06 AM,,
MNQ MAR24,Buy,Market,1,16997.00,16997.00,Initialized,1,0,0,Buy Market Entry A,BlackBird,,12/22/2023 10:57:06 AM,,
MNQ MAR24,Sell,Limit,1,17001.75,17001.75,Initialized,0,0,1,K.Chan Offset 3 C,BlackBird,a9e45ace-9936-49a2-b485-fd90bea2dbdc508451268,12/22/2023 10:57:03 AM,,
MNQ MAR24,Sell,Limit,1,17001.25,17001.25,Submitted,0,0,1,K.Chan Offset 2 B,BlackBird,37e27113-793f-4cab-a593-4c8700d7420c464670794,12/22/2023 10:57:03 AM,,
MNQ MAR24,Sell,Stop Market,1,16998.75,16997.25,Submitted,1,0,0,Stop Loss Keltner channel C,BlackBird,a9e45ace-9936-49a2-b485-fd90bea2dbdc508451268,12/22/2023 10:57:03 AM,,
MNQ MAR24,Sell,Stop Market,1,16998.75,16997.25,Submitted,1,0,0,Stop Loss Keltner channel B,BlackBird,37e27113-793f-4cab-a593-4c8700d7420c464670794,12/22/2023 10:57:03 AM,,
MNQ MAR24,Sell,Limit,1,17000.75,17000.75,Initialized,0,0,1,K.Chan Offset 1 A,BlackBird,e4f2f5b5-1c7f-4a6d-9a9d-7c6d19938e392013479783,12/22/2023 10:57:03 AM,,
MNQ MAR24,Sell,Stop Market,1,16998.75,16997.25,Submitted,1,0,0,Stop Loss Keltner channel A,BlackBird,e4f2f5b5-1c7f-4a6d-9a9d-7c6d19938e392013479783,12/22/2023 10:57:03 AM,,
MNQ MAR24,Buy,Market,1,17000.50,17000.50,Submitted,1,0,0,Buy Market Entry C,BlackBird,,12/22/2023 10:57:03 AM,,
MNQ MAR24,Buy,Market,1,17000.50,17000.50,Initialized,1,0,0,Buy Market Entry B,BlackBird,,12/22/2023 10:57:03 AM,,
MNQ MAR24,Buy,Market,1,17000.50,17000.50,Initialized,1,0,0,Buy Market Entry A,BlackBird,,12/22/2023 10:57:03 AM,,
MNQ MAR24,Sell,Limit,1,17015.50,17015.50,Submitted,0,0,1,K.Chan Offset 3 C,BlackBird,ea8ab6b9-412f-4989-9e30-d8a4c76958f01246657823,12/22/2023 10:56:15 AM,,
MNQ MAR24,Sell,Limit,1,17015.00,17015.00,Submitted,0,0,1,K.Chan Offset 2 B,BlackBird,69142a1a-37fc-4c8f-931e-5191066ab81984840405,12/22/2023 10:56:15 AM,,
MNQ MAR24,Sell,Stop Market,1,17012.50,17010.00,Initialized,1,0,0,Stop Loss Keltner channel C,BlackBird,ea8ab6b9-412f-4989-9e30-d8a4c76958f01246657823,12/22/2023 10:56:15 AM,,
MNQ MAR24,Sell,Stop Market,1,17012.50,17010.00,Initialized,1,0,0,Stop Loss Keltner channel B,BlackBird,69142a1a-37fc-4c8f-931e-5191066ab81984840405,12/22/2023 10:56:15 AM,,
MNQ MAR24,Sell,Limit,1,17014.50,17014.50,Submitted,0,0,1,K.Chan Offset 1 A,BlackBird,2e8eb025-1a6a-442e-94b4-3e64f2dbee85787531409,12/22/2023 10:56:15 AM,,
MNQ MAR24,Sell,Stop Market,1,17012.50,17010.00,Submitted,1,0,0,Stop Loss Keltner channel A,BlackBird,2e8eb025-1a6a-442e-94b4-3e64f2dbee85787531409,12/22/2023 10:56:15 AM,,
MNQ MAR24,Buy,Market,1,17013.00,17013.00,Initialized,1,0,0,Buy Market Entry C,BlackBird,,12/22/2023 10:56:15 AM,,
MNQ MAR24,Buy,Market,1,17013.00,17013.00,Initialized,1,0,0,Buy Market Entry B,BlackBird,,12/22/2023 10:56:15 AM,,
MNQ MAR24,Buy,Market,1,17013.00,17013.00,Initialized,1,0,0,Buy Market Entry A,BlackBird,,12/22/2023 10:56:15 AM,,
MNQ MAR24,Sell,Limit,1,17023.25,17023.25,Submitted,0,0,1,K.Chan Offset 3 C,BlackBird,03a2c14b-12d2-4d14-a47e-7401d600b095970318078,12/22/2023 10:49:23 AM,,
MNQ MAR24,Sell,Limit,1,17022.75,17022.75,Initialized,0,0,1,K.Chan Offset 2 B,BlackBird,6de78fb7-53e3-4e32-8bdc-5b43f22589d685262740,12/22/2023 10:49:23 AM,,
MNQ MAR24,Sell,Stop Market,1,17020.25,17018.25,Submitted,1,0,0,Stop Loss Keltner channel C,BlackBird,03a2c14b-12d2-4d14-a47e-7401d600b095970318078,12/22/2023 10:49:23 AM,,
MNQ MAR24,Sell,Stop Market,1,17020.25,17018.00,Initialized,1,0,0,Stop Loss Keltner channel B,BlackBird,6de78fb7-53e3-4e32-8bdc-5b43f22589d685262740,12/22/2023 10:49:23 AM,,
MNQ MAR24,Sell,Limit,1,17022.25,17022.25,Submitted,0,0,1,K.Chan Offset 1 A,BlackBird,48036211-73a2-4fc3-b39e-4735352282941588874638,12/22/2023 10:49:23 AM,,
MNQ MAR24,Sell,Stop Market,1,17020.25,17018.00,Submitted,1,0,0,Stop Loss Keltner channel A,BlackBird,48036211-73a2-4fc3-b39e-4735352282941588874638,12/22/2023 10:49:23 AM,,
MNQ MAR24,Buy,Market,1,17021.00,17021.00,Submitted,1,0,0,Buy Market Entry C,BlackBird,,12/22/2023 10:49:23 AM,,
MNQ MAR24,Buy,Market,1,17021.00,17021.00,Submitted,1,0,0,Buy Market Entry B,BlackBird,,12/22/2023 10:49:23 AM,,
MNQ MAR24,Buy,Market,1,17021.00,17021.00,Initialized,1,0,0,Buy Market Entry A,BlackBird,,12/22/2023 10:49:23 AM,,
MNQ MAR24,Sell,Limit,1,17023.00,17023.00,Submitted,0,0,1,K.Chan Offset 3 C,BlackBird,fb37880e-76cd-4fbc-b5bc-be3d3e00a6751114408918,12/22/2023 10:38:18 AM,,
MNQ MAR24,Sell,Stop Market,1,17020.00,17018.25,Initialized,1,0,0,Stop Loss Keltner channel C,BlackBird,fb37880e-76cd-4fbc-b5bc-be3d3e00a6751114408918,12/22/2023 10:38:18 AM,,
MNQ MAR24,Sell,Limit,1,17022.50,17022.50,Submitted,0,0,1,K.Chan Offset 2 B,BlackBird,5e4007fd-69d7-495b-986b-3dd2277aa46b1401358144,12/22/2023 10:38:18 AM,,
MNQ MAR24,Sell,Limit,1,17022.00,17022.00,Submitted,0,0,1,K.Chan Offset 1 A,BlackBird,d7077b52-8692-40a5-8354-aafccc6020c2556738907,12/22/2023 10:38:18 AM,,
